age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
56,1,13,16,23,23,23,25,29,38,261,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
57,2,13,17,10,23,23,25,29,38,149,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
37,2,13,17,23,24,23,25,29,38,226,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
40,3,13,18,23,23,23,25,29,38,151,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
56,2,13,17,23,23,24,25,29,38,307,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
45,2,13,19,10,23,23,25,29,38,198,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
59,3,13,20,23,23,23,25,29,38,139,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
41,4,13,10,10,23,23,25,29,38,217,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
24,5,14,20,23,24,23,25,29,38,380,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
25,2,14,17,23,24,23,25,29,38,50,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
41,4,13,10,10,23,23,25,29,38,55,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
25,2,14,17,23,24,23,25,29,38,222,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
29,4,14,17,23,23,24,25,29,38,137,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
57,1,15,16,23,24,23,25,29,38,293,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
35,4,13,18,23,24,23,25,29,38,146,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
54,6,13,19,10,24,24,25,29,38,174,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
35,4,13,18,23,24,23,25,29,38,312,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
46,4,13,18,10,24,24,25,29,38,440,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
50,4,13,19,23,24,24,25,29,38,353,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
39,7,14,19,10,23,23,25,29,38,195,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
30,8,13,17,23,23,23,25,29,38,38,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,4,13,16,10,24,23,25,29,38,262,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,6,14,17,23,24,23,25,29,38,342,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
41,5,14,17,23,24,23,25,29,38,181,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
37,3,13,17,23,24,23,25,29,38,172,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
35,5,13,21,23,23,24,25,29,38,99,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
59,5,13,10,23,24,23,25,29,38,93,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
39,9,13,19,10,23,23,25,29,38,233,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
54,5,14,21,10,23,23,25,29,38,255,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,10,13,21,10,10,10,25,29,38,362,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
46,3,13,10,23,23,23,25,29,38,348,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
59,5,13,10,23,24,23,25,29,38,386,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
49,4,13,10,23,23,23,25,29,38,73,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
54,7,13,16,10,24,23,25,29,38,230,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
54,4,15,16,23,23,23,25,29,38,208,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,10,13,16,10,24,23,25,29,38,336,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
34,2,13,17,23,23,23,25,29,38,365,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
52,5,13,19,23,24,23,25,29,38,1666,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
41,3,13,21,23,24,23,25,29,38,577,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
56,5,13,16,23,24,23,25,29,38,137,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
58,7,10,21,23,24,23,25,29,38,366,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
32,11,13,17,23,24,23,25,29,38,314,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
38,3,14,20,23,23,23,25,29,38,160,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
57,3,13,21,23,23,24,25,29,38,212,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
44,3,13,21,10,24,23,25,29,38,188,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
42,5,14,20,10,23,23,25,29,38,22,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
57,3,13,21,23,24,24,25,29,38,616,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
40,4,13,19,23,23,24,25,29,38,178,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
35,3,13,21,23,24,23,25,29,38,355,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
45,4,13,19,23,24,23,25,29,38,225,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
54,3,13,17,23,23,23,25,29,38,160,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
39,1,13,16,23,23,24,25,29,38,266,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
60,3,13,17,23,23,23,25,29,38,253,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
53,3,14,20,23,23,23,25,29,38,179,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,4,13,16,10,23,23,25,29,38,269,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,5,13,20,10,24,23,25,29,38,135,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
50,7,13,21,10,23,24,25,29,38,161,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
45,2,13,17,10,24,23,25,29,38,787,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,8,13,20,10,24,24,25,29,38,145,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
25,5,14,21,23,24,23,25,29,38,174,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
47,11,13,21,10,23,23,25,29,38,449,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
51,4,13,19,23,24,23,25,29,38,812,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
42,4,13,18,10,24,23,25,29,38,164,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
42,4,13,18,10,23,23,25,29,38,366,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
48,3,13,17,23,23,23,25,29,38,357,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
37,3,13,21,23,23,23,25,29,38,232,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
44,4,14,19,23,24,23,25,29,38,91,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
33,3,13,10,23,24,23,25,29,38,273,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
56,3,13,19,23,24,23,25,29,38,158,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
44,4,14,16,10,24,24,25,29,38,177,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
41,7,13,18,23,23,23,25,29,38,200,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
44,7,15,21,23,24,23,25,29,38,172,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
47,3,13,21,10,24,23,25,29,38,176,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
57,10,13,10,10,23,23,25,29,38,211,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
37,3,13,21,10,24,23,25,29,38,214,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
41,4,15,16,10,24,23,25,29,38,1575,1,999,0,43,1.1,93.994,-36.4,4.857,5191,24
55,5,13,21,23,23,23,25,29,38,349,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
33,2,13,17,10,24,23,25,29,38,337,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,7,13,10,10,24,23,25,29,38,272,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
42,4,13,19,10,23,23,25,29,38,208,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
50,4,13,16,10,24,23,25,29,38,193,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
51,4,13,16,10,10,10,25,29,38,212,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
38,3,13,17,10,23,23,25,29,38,165,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
49,11,13,21,10,24,23,25,29,38,1042,1,999,0,43,1.1,93.994,-36.4,4.857,5191,24
38,5,14,21,23,23,24,25,29,38,20,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
31,3,15,17,23,23,23,25,29,38,246,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
41,7,13,18,23,23,23,25,29,38,529,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
39,3,13,21,23,24,24,25,29,38,192,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
49,5,13,19,23,23,23,25,29,38,1467,1,999,0,43,1.1,93.994,-36.4,4.857,5191,24
34,3,13,17,23,24,23,25,29,38,188,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
35,3,13,21,23,24,23,25,29,38,180,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
57,10,13,10,10,24,23,25,29,38,48,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
60,3,13,10,10,23,24,25,29,38,213,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
33,8,13,19,23,23,23,25,29,38,545,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
42,4,13,18,23,23,24,25,29,38,583,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
45,2,13,20,23,24,23,25,29,38,221,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
42,7,13,21,23,23,23,25,29,38,426,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
53,3,15,21,10,23,23,25,29,38,287,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
37,5,14,20,23,23,23,25,29,38,197,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
44,4,13,18,23,23,23,25,29,38,257,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
54,2,13,10,23,24,23,25,29,38,229,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
49,4,13,16,23,23,23,25,29,38,55,3,999,0,43,1.1,93.994,-36.4,4.857,5191,23
54,2,13,10,23,23,23,25,29,38,400,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
52,3,15,21,23,23,23,25,29,38,197,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
52,3,15,21,23,23,23,25,29,38,190,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
43,2,14,17,10,23,23,25,29,38,21,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
34,1,13,18,23,24,23,25,29,38,300,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
35,3,13,17,23,24,23,25,29,38,123,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
42,11,13,10,10,24,23,25,29,38,293,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
43,5,13,10,10,24,24,25,29,38,325,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
60,6,15,21,10,23,23,25,29,38,514,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
58,8,13,16,10,23,23,25,29,38,849,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
35,2,15,17,23,24,23,25,29,38,194,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
55,4,13,19,10,24,23,25,29,38,212,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
37,7,13,21,23,23,23,25,29,38,337,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
36,4,13,17,23,23,23,25,29,38,286,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
52,3,15,21,23,23,23,25,29,38,247,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
57,4,15,10,10,24,23,25,29,38,518,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
56,3,13,10,23,24,23,25,29,38,364,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
48,4,15,16,10,24,23,25,29,38,178,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
40,4,13,17,10,24,23,25,29,38,98,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
49,4,15,17,23,23,23,25,29,38,439,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
41,2,13,17,23,23,23,25,29,38,139,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
45,5,13,17,23,24,23,25,29,38,79,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
32,3,13,21,23,24,24,25,29,38,175,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
42,3,13,21,23,23,24,25,29,38,262,2,999,0,43,1.1,93.994,-36.4,4.857,5191,23
50,3,13,18,23,23,23,25,29,38,61,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
31,5,15,20,23,24,24,25,29,38,78,1,999,0,43,1.1,93.994,-36.4,4.857,5191,23
